algo,n,time_ns,max_depth,cmp,mov,alloc
mergesort,1024,995100,7,10753,17036,1
mergesort,2048,560000,8,23483,38120,1
mergesort,4096,281100,9,51213,84533,1
mergesort,8192,615600,10,110368,185367,1
mergesort,16384,1306300,11,237248,403517,1
mergesort,32768,3212500,12,507691,872774,1
mergesort,65536,11478300,13,1080586,1876595,1
mergesort,131072,12779600,14,2289479,4012333,1
mergesort,262144,40786000,15,4845447,8553522,1
mergesort,524288,41664600,16,10216137,18157091,1
mergesort,1048576,87725200,17,21479721,38410545,1
quicksort,1024,1273800,6,10717,20280,0
quicksort,2048,375500,7,23896,46200,0
quicksort,4096,373400,8,56140,104793,0
quicksort,8192,866100,8,137041,260628,0
quicksort,16384,1569100,10,271985,500940,0
quicksort,32768,1857800,10,592660,1058280,0
quicksort,65536,3740200,11,1258246,2274861,0
quicksort,131072,8926300,11,2715271,4898748,0
quicksort,262144,18173100,12,5631741,9692544,0
quicksort,524288,38129200,12,12459931,20305209,0
quicksort,1048576,80897500,13,25291152,42757485,0
select_mom5,16384,2567800,0,134910,207367,0
select_mom5,32768,1098500,0,271542,415436,0
select_mom5,65536,2525300,0,541233,826653,0
select_mom5,131072,4621700,0,1074738,1640922,0
select_mom5,262144,9048300,0,2177308,3329100,0
select_mom5,524288,14693000,0,4360403,6671174,0
select_mom5,1048576,29266000,0,8854589,13507149,0
select_mom5,2097152,58264800,0,17937797,27275334,0
closest_pair,1024,8444400,10,653,0,3
closest_pair,2048,3324400,11,1277,0,3
closest_pair,4096,3852400,12,2674,0,3
closest_pair,8192,14741700,13,5337,0,3
closest_pair,16384,26723500,14,10686,0,3
closest_pair,32768,68527500,15,21731,0,3
closest_pair,65536,80078800,16,43767,0,3
closest_pair,131072,127967200,17,88006,0,3
